Question,QuestionID
Frequent physical distress among adults,HEA03
Health insurance coverage after pregnancy among women with a recent live birth,SDH11
Binge drinking intensity among adults who binge drink,ALC05
Current cigarette smoking among adults,TOB04
"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older",COPD04
Taking medicine for high cholesterol among adults,CVD04
Binge drinking prevalence among high school students,ALC07
"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",TOB07
Per capita alcohol consumption among people aged 14 years and older,ALC08
Postpartum checkup among women with a recent live birth,MAT01
High school completion among adults aged 18-24,SDH02
Current smokeless tobacco use among high school students,TOB03
Cigarette smoking during pregnancy among women with a recent live birth,TOB05
Health insurance coverage in the month before pregnancy among women with a recent live birth,SDH10
Infants who were exclusively breastfed through 6 months,NPW11
Living below 150% of the poverty threshold among all people,SDH01
Incidence of treated end-stage kidney disease,CKD01
No broadband internet subscription among households,SDH03
Infants who were breastfed at 12 months,NPW10
Food insecure in the past 12 months among households,SDH04
No teeth lost among adults aged 18-64 years,ORH01
Obesity among WIC children aged 2 to 4 years,NPW12
Mammography use among women aged 50-74 years,CAN09
Cervical cancer screening among women aged 21-65 years,CAN10
Colorectal cancer screening among adults aged 45-75 years,CAN06
Six or more teeth lost among adults aged 65 years and older,ORH02
Current poor mental health among high school students,MEN01
Lack of reliable transportation in the past 12 months among adults,SDH06
Lack of social and emotional support needed among adults,SDH07
"Unable to pay mortgage, rent, or utility bills in the past 12 months among adults",SDH05
