,YearStart,YearEnd,LocationAbbr,DataSource,DataValueUnit,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
14196,2019,2019,AR,NVSS,"cases per 100,000",1.8,1.8,1.2,2.7,DIA,DIA04,AGEADJRATE,SEX,SEXM
14265,2019,2019,AK,BRFSS,%,2.0,2.0,1.2,3.5,DIA,DIA01,CRDPREV,AGE,AGE1844
14291,2019,2019,AZ,NVSS,"cases per 100,000",34.1,34.1,25.5,44.7,DIA,DIA03,CRDRATE,RACE,MRC
14295,2019,2019,AZ,NVSS,"cases per 100,000",40.5,40.5,32.6,48.4,DIA,DIA03,CRDRATE,RACE,ASN
14424,2019,2019,AK,BRFSS,%,6.6,6.6,5.3,8.2,DIA,DIA01,CRDPREV,SEX,SEXM
14458,2019,2019,AK,NVSS,"cases per 100,000",39.9,39.9,28.8,53.7,DIA,DIA03,CRDRATE,RACE,AIAN
14483,2019,2019,AR,BRFSS,%,18.7,18.7,15.1,22.8,DIA,DIA01,CRDPREV,RACE,BLK
14492,2019,2019,AZ,NVSS,"cases per 100,000",59.4,59.4,57.8,61.0,DIA,DIA03,AGEADJRATE,OVERALL,OVR
14553,2019,2019,AZ,NVSS,Number,1256.0,1256.0,,,DIA,DIA03,NMBR,AGE,AGE4564
14612,2019,2019,AR,NVSS,Number,56.0,56.0,,,DIA,DIA04,NMBR,OVERALL,OVR
14752,2019,2019,AZ,BRFSS,%,11.4,11.4,10.0,13.0,DIA,DIA01,CRDPREV,SEX,SEXM
14758,2019,2019,AL,NVSS,"cases per 100,000",55.9,55.9,53.0,58.8,DIA,DIA03,CRDRATE,SEX,SEXF
14925,2019,2019,AZ,BRFSS,%,9.9,9.9,5.9,16.0,DIA,DIA01,AGEADJPREV,RACE,MRC
14944,2019,2019,AK,BRFSS,%,7.2,7.2,6.1,8.5,DIA,DIA01,AGEADJPREV,OVERALL,OVR
15073,2019,2019,AL,NVSS,"cases per 100,000",81.0,81.0,76.0,86.1,DIA,DIA03,AGEADJRATE,RACE,BLK
15093,2019,2019,AL,NVSS,"cases per 100,000",2.5,2.5,1.7,3.5,DIA,DIA04,CRDRATE,RACE,BLK
15154,2019,2019,AZ,NVSS,"cases per 100,000",2.7,2.7,1.9,3.7,DIA,DIA04,CRDRATE,AGE,AGE65P
15190,2019,2019,AR,NVSS,Number,3182.0,3182.0,,,DIA,DIA03,NMBR,OVERALL,OVR
15290,2019,2019,AZ,NVSS,"cases per 100,000",72.5,72.5,68.5,76.5,DIA,DIA03,CRDRATE,AGE,AGE4564
15323,2019,2019,AZ,NVSS,"cases per 100,000",4.1,4.1,3.5,4.7,DIA,DIA03,CRDRATE,AGE,AGE0_44
15460,2019,2019,AK,NVSS,Number,305.0,305.0,,,DIA,DIA03,NMBR,OVERALL,OVR
15654,2019,2019,AZ,NVSS,"cases per 100,000",90.2,90.2,87.2,93.2,DIA,DIA03,CRDRATE,RACE,WHT
15759,2019,2019,AL,BRFSS,%,12.3,12.3,7.0,20.5,DIA,DIA01,AGEADJPREV,RACE,MRC
16028,2019,2019,AL,BRFSS,%,12.0,12.0,11.0,13.2,DIA,DIA01,AGEADJPREV,SEX,SEXF
16051,2019,2019,AZ,NVSS,Number,379.0,379.0,,,DIA,DIA03,NMBR,RACE,AIAN
16066,2019,2019,AR,BRFSS,%,14.2,14.2,8.5,22.7,DIA,DIA01,CRDPREV,RACE,MRC
16101,2019,2019,AK,NVSS,Number,78.0,78.0,,,DIA,DIA03,NMBR,AGE,AGE4564
16261,2019,2019,AL,NVSS,"cases per 100,000",67.1,67.1,64.8,69.4,DIA,DIA03,CRDRATE,OVERALL,OVR
16318,2019,2019,AR,NVSS,Number,769.0,769.0,,,DIA,DIA03,NMBR,AGE,AGE4564
16352,2019,2019,AR,NVSS,"cases per 100,000",105.1,105.1,100.1,110.0,DIA,DIA03,AGEADJRATE,SEX,SEXM
16353,2019,2019,AR,NVSS,"cases per 100,000",119.7,119.7,109.8,129.7,DIA,DIA03,CRDRATE,RACE,BLK
16411,2019,2019,AL,NVSS,Number,48.0,48.0,,,DIA,DIA04,NMBR,AGE,AGE4564
16450,2019,2019,AR,NVSS,"cases per 100,000",1.5,1.5,1.0,2.2,DIA,DIA04,AGEADJRATE,SEX,SEXF
16451,2019,2019,AK,NVSS,"cases per 100,000",46.9,46.9,40.1,53.8,DIA,DIA03,CRDRATE,SEX,SEXM
16534,2019,2019,AL,NVSS,"cases per 100,000",2.4,2.4,1.8,3.1,DIA,DIA04,AGEADJRATE,SEX,SEXM
16558,2019,2019,AR,NVSS,"cases per 100,000",64.3,64.3,60.8,67.7,DIA,DIA03,AGEADJRATE,SEX,SEXF
16581,2019,2019,AZ,NVSS,"cases per 100,000",90.9,90.9,87.8,94.0,DIA,DIA03,CRDRATE,SEX,SEXM
16607,2019,2019,AK,NVSS,Number,21.0,21.0,,,DIA,DIA03,NMBR,RACE,ASN
16612,2019,2019,AZ,BRFSS,%,15.1,15.1,13.0,17.5,DIA,DIA01,CRDPREV,AGE,AGE4564
16625,2019,2019,AZ,NVSS,"cases per 100,000",1.5,1.5,1.1,1.9,DIA,DIA04,AGEADJRATE,SEX,SEXM
16685,2019,2019,AZ,NVSS,Number,59.0,59.0,,,DIA,DIA04,NMBR,SEX,SEXM
16908,2019,2019,AZ,NVSS,"cases per 100,000",44.5,44.5,35.6,53.3,DIA,DIA03,AGEADJRATE,RACE,ASN
16933,2019,2019,AK,PRAMS,%,10.1,10.1,7.3,13.7,DIA,DIA02,CRDPREV,RACE,WHT
16945,2019,2019,AL,BRFSS,%,13.1,13.1,8.1,20.7,DIA,DIA01,AGEADJPREV,RACE,AIAN
16949,2019,2019,AR,BRFSS,%,13.6,13.6,12.1,15.2,DIA,DIA01,CRDPREV,SEX,SEXF
17014,2019,2019,AK,BRFSS,%,7.7,7.7,6.5,9.2,DIA,DIA01,AGEADJPREV,RACE,WHT
17019,2019,2019,AR,NVSS,Number,2320.0,2320.0,,,DIA,DIA03,NMBR,AGE,AGE65P
17046,2019,2019,AL,NVSS,Number,52.0,52.0,,,DIA,DIA04,NMBR,SEX,SEXF
17075,2019,2019,AK,NVSS,"cases per 100,000",38.0,38.0,31.2,44.8,DIA,DIA03,AGEADJRATE,SEX,SEXF
17148,2019,2019,AZ,BRFSS,%,9.5,9.5,8.5,10.6,DIA,DIA01,CRDPREV,RACE,WHT
17299,2019,2019,AR,NVSS,"cases per 100,000",4.6,4.6,2.9,6.8,DIA,DIA04,CRDRATE,AGE,AGE65P
17336,2019,2019,AZ,BRFSS,%,9.4,9.4,8.1,10.8,DIA,DIA01,AGEADJPREV,SEX,SEXF
17374,2019,2019,AZ,BRFSS,%,21.2,21.2,15.4,28.4,DIA,DIA01,CRDPREV,RACE,AIAN
17445,2019,2019,AL,NVSS,"cases per 100,000",2.6,2.6,2.0,3.2,DIA,DIA04,CRDRATE,RACE,WHT
17513,2019,2019,AL,BRFSS,%,14.1,14.1,12.7,15.6,DIA,DIA01,CRDPREV,SEX,SEXM
17645,2019,2019,AL,NVSS,Number,129.0,129.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
17749,2019,2019,AR,PRAMS,%,11.9,11.9,9.0,15.7,DIA,DIA02,CRDPREV,OVERALL,OVR
17787,2019,2019,AL,BRFSS,%,20.1,20.1,18.2,22.1,DIA,DIA01,CRDPREV,AGE,AGE4564
17827,2019,2019,AL,NVSS,Number,1052.0,1052.0,,,DIA,DIA03,NMBR,RACE,BLK
17910,2019,2019,AZ,NVSS,Number,65.0,65.0,,,DIA,DIA04,NMBR,RACE,WHT
17967,2019,2019,AZ,NVSS,Number,3287.0,3287.0,,,DIA,DIA03,NMBR,SEX,SEXM
17968,2019,2019,AL,NVSS,"cases per 100,000",79.1,79.1,75.5,82.7,DIA,DIA03,CRDRATE,SEX,SEXM
18042,2019,2019,AZ,BRFSS,%,17.3,17.3,12.2,24.0,DIA,DIA01,AGEADJPREV,RACE,BLK
18090,2019,2019,AR,NVSS,Number,29.0,29.0,,,DIA,DIA04,NMBR,SEX,SEXM
18098,2019,2019,AZ,NVSS,"cases per 100,000",68.0,68.0,50.1,90.1,DIA,DIA03,AGEADJRATE,RACE,MRC
18250,2019,2019,AL,NVSS,Number,1874.0,1874.0,,,DIA,DIA03,NMBR,SEX,SEXM
18638,2019,2019,AL,NVSS,Number,2181.0,2181.0,,,DIA,DIA03,NMBR,RACE,WHT
18709,2019,2019,AR,BRFSS,%,17.3,17.3,11.3,25.6,DIA,DIA01,AGEADJPREV,RACE,MRC
18728,2019,2019,AL,NVSS,"cases per 100,000",67.1,67.1,62.6,71.6,DIA,DIA03,CRDRATE,AGE,AGE4564
18750,2019,2019,AL,PRAMS,%,8.2,8.2,3.5,18.3,DIA,DIA02,CRDPREV,RACE,HIS
18824,2019,2019,AZ,NVSS,"cases per 100,000",1.3,1.3,0.8,2.0,DIA,DIA04,AGEADJRATE,RACE,HIS
18868,2019,2019,AL,NVSS,"cases per 100,000",67.9,67.9,64.7,71.1,DIA,DIA03,AGEADJRATE,SEX,SEXM
18879,2019,2019,AL,BRFSS,%,3.3,3.3,2.5,4.4,DIA,DIA01,CRDPREV,AGE,AGE1844
18971,2019,2019,AR,NVSS,"cases per 100,000",1.7,1.7,1.2,2.3,DIA,DIA04,AGEADJRATE,RACE,WHT
18998,2019,2019,AZ,NVSS,Number,101.0,101.0,,,DIA,DIA04,NMBR,OVERALL,OVR
19093,2019,2019,AZ,NVSS,"cases per 100,000",77.0,77.0,67.5,86.6,DIA,DIA03,CRDRATE,RACE,BLK
19106,2019,2019,AL,NVSS,"cases per 100,000",2.3,2.3,1.9,2.8,DIA,DIA04,CRDRATE,OVERALL,OVR
19113,2019,2019,AL,NVSS,"cases per 100,000",3.8,3.8,2.8,5.0,DIA,DIA04,CRDRATE,AGE,AGE4564
19138,2019,2019,AR,NVSS,Number,46.0,46.0,,,DIA,DIA04,NMBR,RACE,WHT
19200,2019,2019,AZ,NVSS,"cases per 100,000",316.4,316.4,306.7,326.0,DIA,DIA03,CRDRATE,AGE,AGE65P
19209,2019,2019,AZ,NVSS,"cases per 100,000",45.1,45.1,43.2,47.0,DIA,DIA03,AGEADJRATE,SEX,SEXF
19329,2019,2019,AZ,NVSS,Number,42.0,42.0,,,DIA,DIA04,NMBR,SEX,SEXF
19401,2019,2019,AR,NVSS,"cases per 100,000",5.3,5.3,4.3,6.5,DIA,DIA03,CRDRATE,AGE,AGE0_44
19475,2019,2019,AR,BRFSS,%,12.3,12.3,11.2,13.4,DIA,DIA01,AGEADJPREV,OVERALL,OVR
19487,2019,2019,AR,NVSS,Number,557.0,557.0,,,DIA,DIA03,NMBR,RACE,BLK
19493,2019,2019,AK,BRFSS,%,6.6,6.6,5.4,8.1,DIA,DIA01,AGEADJPREV,SEX,SEXM
19536,2019,2019,AR,NVSS,Number,1371.0,1371.0,,,DIA,DIA03,NMBR,SEX,SEXF
19576,2019,2019,AZ,BRFSS,%,12.0,12.0,9.7,14.7,DIA,DIA01,CRDPREV,RACE,HIS
19625,2019,2019,AK,NVSS,"cases per 100,000",232.6,232.6,201.3,263.8,DIA,DIA03,CRDRATE,AGE,AGE65P
19637,2019,2019,AK,NVSS,Number,179.0,179.0,,,DIA,DIA03,NMBR,SEX,SEXM
19641,2019,2019,AL,NVSS,Number,63.0,63.0,,,DIA,DIA04,NMBR,SEX,SEXM
19666,2019,2019,AZ,NVSS,Number,175.0,175.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
19717,2019,2019,AZ,BRFSS,%,20.6,20.6,18.5,22.9,DIA,DIA01,CRDPREV,AGE,AGE65P
19759,2019,2019,AL,NVSS,Number,3290.0,3290.0,,,DIA,DIA03,NMBR,OVERALL,OVR
19767,2019,2019,AK,NVSS,"cases per 100,000",55.0,55.0,38.9,75.5,DIA,DIA03,AGEADJRATE,RACE,AIAN
19941,2019,2019,AL,PRAMS,%,6.8,6.8,5.3,8.8,DIA,DIA02,CRDPREV,OVERALL,OVR
19996,2019,2019,AR,NVSS,"cases per 100,000",1.7,1.7,1.3,2.2,DIA,DIA04,AGEADJRATE,OVERALL,OVR
20011,2019,2019,AZ,NVSS,"cases per 100,000",49.6,49.6,47.9,51.3,DIA,DIA03,AGEADJRATE,RACE,WHT
20017,2019,2019,AZ,NVSS,"cases per 100,000",163.9,163.9,146.9,180.8,DIA,DIA03,AGEADJRATE,RACE,AIAN
20040,2019,2019,AL,NVSS,Number,22.0,22.0,,,DIA,DIA04,NMBR,AGE,AGE0_44
20062,2019,2019,AR,BRFSS,%,13.6,13.6,12.5,14.8,DIA,DIA01,CRDPREV,OVERALL,OVR
20080,2019,2019,AL,NVSS,"cases per 100,000",81.1,81.1,76.2,86.0,DIA,DIA03,CRDRATE,RACE,BLK
20122,2019,2019,AL,NVSS,Number,82.0,82.0,,,DIA,DIA04,NMBR,RACE,WHT
20134,2019,2019,AZ,NVSS,"cases per 100,000",1.2,1.2,1.0,1.5,DIA,DIA04,AGEADJRATE,OVERALL,OVR
20366,2019,2019,AZ,NVSS,Number,101.0,101.0,,,DIA,DIA03,NMBR,RACE,ASN
20456,2019,2019,AK,BRFSS,%,8.0,8.0,6.2,10.1,DIA,DIA01,CRDPREV,SEX,SEXF
20460,2019,2019,AZ,NVSS,"cases per 100,000",49.7,49.7,46.9,52.6,DIA,DIA03,CRDRATE,RACE,HIS
20463,2019,2019,AR,NVSS,"cases per 100,000",442.8,442.8,424.8,460.9,DIA,DIA03,CRDRATE,AGE,AGE65P
20605,2019,2019,AR,BRFSS,%,8.2,8.2,4.8,13.7,DIA,DIA01,CRDPREV,RACE,HIS
20729,2019,2019,AL,NVSS,"cases per 100,000",271.3,271.3,260.3,282.4,DIA,DIA03,CRDRATE,AGE,AGE65P
20752,2019,2019,AZ,BRFSS,%,10.5,10.5,9.1,11.9,DIA,DIA01,CRDPREV,SEX,SEXF
20760,2019,2019,AR,NVSS,Number,24.0,24.0,,,DIA,DIA04,NMBR,AGE,AGE65P
20810,2019,2019,AK,NVSS,"cases per 100,000",43.7,43.7,34.5,54.5,DIA,DIA03,CRDRATE,AGE,AGE4564
20829,2019,2019,AL,BRFSS,%,25.9,25.9,23.8,28.0,DIA,DIA01,CRDPREV,AGE,AGE65P
20852,2019,2019,AZ,BRFSS,%,9.9,9.9,8.9,10.9,DIA,DIA01,AGEADJPREV,OVERALL,OVR
20885,2019,2019,AZ,NVSS,Number,20.0,20.0,,,DIA,DIA04,NMBR,RACE,HIS
20935,2019,2019,AL,NVSS,"cases per 100,000",1.7,1.7,1.3,2.3,DIA,DIA04,AGEADJRATE,SEX,SEXF
21031,2019,2019,AL,NVSS,"cases per 100,000",40.6,40.6,38.4,42.8,DIA,DIA03,AGEADJRATE,SEX,SEXF
21129,2019,2019,AR,NVSS,"cases per 100,000",1.8,1.8,1.2,2.6,DIA,DIA04,CRDRATE,SEX,SEXF
21147,2019,2019,AZ,NVSS,Number,52.0,52.0,,,DIA,DIA03,NMBR,RACE,MRC
21174,2019,2019,AL,NVSS,Number,32.0,32.0,,,DIA,DIA04,NMBR,RACE,BLK
21266,2019,2019,AR,PRAMS,%,16.2,16.2,9.3,26.7,DIA,DIA02,CRDPREV,RACE,BLK
21379,2019,2019,AR,NVSS,"cases per 100,000",105.4,105.4,101.8,109.1,DIA,DIA03,CRDRATE,OVERALL,OVR
21415,2019,2019,AL,BRFSS,%,12.8,12.8,11.5,14.2,DIA,DIA01,AGEADJPREV,SEX,SEXM
21506,2019,2019,AZ,BRFSS,%,17.8,17.8,12.2,25.2,DIA,DIA01,CRDPREV,RACE,BLK
21508,2019,2019,AR,BRFSS,%,3.9,3.9,2.8,5.4,DIA,DIA01,CRDPREV,AGE,AGE1844
21556,2019,2019,AL,NVSS,"cases per 100,000",4.6,4.6,3.8,5.4,DIA,DIA03,CRDRATE,AGE,AGE0_44
21578,2019,2019,AR,NVSS,Number,2544.0,2544.0,,,DIA,DIA03,NMBR,RACE,WHT
21621,2019,2019,AK,NVSS,"cases per 100,000",45.8,45.8,40.4,51.2,DIA,DIA03,AGEADJRATE,OVERALL,OVR
21672,2019,2019,AL,BRFSS,%,13.3,13.3,12.2,14.5,DIA,DIA01,CRDPREV,RACE,WHT
21718,2019,2019,AR,BRFSS,%,12.5,12.5,11.1,14.1,DIA,DIA01,AGEADJPREV,SEX,SEXM
21734,2019,2019,AL,NVSS,"cases per 100,000",68.1,68.1,65.3,71.0,DIA,DIA03,CRDRATE,RACE,WHT
21803,2019,2019,AR,NVSS,"cases per 100,000",2.1,2.1,1.5,2.8,DIA,DIA04,CRDRATE,RACE,WHT
21826,2019,2019,AZ,BRFSS,%,15.2,15.2,12.6,18.1,DIA,DIA01,AGEADJPREV,RACE,HIS
21842,2019,2019,AZ,NVSS,"cases per 100,000",1.3,1.3,1.0,1.7,DIA,DIA04,AGEADJRATE,RACE,WHT
21869,2019,2019,AK,NVSS,"cases per 100,000",39.8,39.8,33.9,45.7,DIA,DIA03,AGEADJRATE,RACE,WHT
21893,2019,2019,AZ,NVSS,"cases per 100,000",62.4,62.4,59.8,64.9,DIA,DIA03,CRDRATE,SEX,SEXF
21936,2019,2019,AR,NVSS,"cases per 100,000",78.9,78.9,75.7,82.0,DIA,DIA03,AGEADJRATE,RACE,WHT
21962,2019,2019,AZ,NVSS,"cases per 100,000",1.1,1.1,0.8,1.6,DIA,DIA04,CRDRATE,SEX,SEXF
22224,2019,2019,AR,NVSS,"cases per 100,000",49.1,49.1,34.2,68.2,DIA,DIA03,AGEADJRATE,RACE,HIS
22228,2019,2019,AK,NVSS,Number,213.0,213.0,,,DIA,DIA03,NMBR,AGE,AGE65P
22234,2019,2019,AL,NVSS,Number,855.0,855.0,,,DIA,DIA03,NMBR,AGE,AGE4564
22314,2019,2019,AZ,NVSS,Number,4140.0,4140.0,,,DIA,DIA03,NMBR,AGE,AGE65P
22328,2019,2019,AL,BRFSS,%,10.9,10.9,9.9,11.9,DIA,DIA01,AGEADJPREV,RACE,WHT
22338,2019,2019,AZ,NVSS,"cases per 100,000",0.9,0.9,0.5,1.3,DIA,DIA04,CRDRATE,RACE,HIS
22451,2019,2019,AK,NVSS,Number,43.0,43.0,,,DIA,DIA03,NMBR,RACE,AIAN
22549,2019,2019,AL,NVSS,Number,45.0,45.0,,,DIA,DIA04,NMBR,AGE,AGE65P
22586,2019,2019,AZ,NVSS,Number,251.0,251.0,,,DIA,DIA03,NMBR,RACE,BLK
22621,2019,2019,AR,NVSS,Number,1811.0,1811.0,,,DIA,DIA03,NMBR,SEX,SEXM
22657,2019,2019,AK,NVSS,"cases per 100,000",36.0,36.0,29.7,42.3,DIA,DIA03,CRDRATE,SEX,SEXF
22708,2019,2019,AZ,NVSS,Number,3553.0,3553.0,,,DIA,DIA03,NMBR,RACE,WHT
22726,2019,2019,AZ,BRFSS,%,7.3,7.3,6.4,8.3,DIA,DIA01,AGEADJPREV,RACE,WHT
22793,2019,2019,AL,BRFSS,%,17.0,17.0,15.2,19.0,DIA,DIA01,AGEADJPREV,RACE,BLK
22857,2019,2019,AL,NVSS,Number,115.0,115.0,,,DIA,DIA04,NMBR,OVERALL,OVR
22966,2019,2019,AK,PRAMS,%,15.0,15.0,12.7,17.5,DIA,DIA02,CRDPREV,OVERALL,OVR
23010,2019,2019,AR,BRFSS,%,13.3,13.3,12.1,14.6,DIA,DIA01,CRDPREV,RACE,WHT
23208,2019,2019,AL,NVSS,"cases per 100,000",52.6,52.6,50.7,54.4,DIA,DIA03,AGEADJRATE,OVERALL,OVR
23242,2019,2019,AZ,BRFSS,%,13.7,13.7,7.7,23.0,DIA,DIA01,AGEADJPREV,RACE,ASN
23274,2019,2019,AR,NVSS,Number,93.0,93.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
23276,2019,2019,AK,PRAMS,%,21.5,21.5,15.0,29.8,DIA,DIA02,CRDPREV,RACE,MRC
23325,2019,2019,AK,BRFSS,%,7.3,7.3,6.2,8.5,DIA,DIA01,CRDPREV,OVERALL,OVR
23334,2019,2019,AR,NVSS,"cases per 100,000",2.0,2.0,1.3,2.8,DIA,DIA04,CRDRATE,SEX,SEXM
23365,2019,2019,AR,NVSS,"cases per 100,000",1.9,1.9,1.4,2.4,DIA,DIA04,CRDRATE,OVERALL,OVR
23383,2019,2019,AR,BRFSS,%,19.0,19.0,16.8,21.5,DIA,DIA01,CRDPREV,AGE,AGE4564
23422,2019,2019,AZ,NVSS,Number,1149.0,1149.0,,,DIA,DIA03,NMBR,RACE,HIS
23430,2019,2019,AL,NVSS,Number,2306.0,2306.0,,,DIA,DIA03,NMBR,AGE,AGE65P
23505,2019,2019,AK,NVSS,"cases per 100,000",52.6,52.6,44.3,60.9,DIA,DIA03,AGEADJRATE,SEX,SEXM
23519,2019,2019,AZ,BRFSS,%,10.5,10.5,9.2,11.9,DIA,DIA01,AGEADJPREV,SEX,SEXM
23566,2019,2019,AL,NVSS,"cases per 100,000",0.8,0.8,0.5,1.2,DIA,DIA04,CRDRATE,AGE,AGE0_44
23578,2019,2019,AZ,BRFSS,%,10.9,10.9,10.0,12.0,DIA,DIA01,CRDPREV,OVERALL,OVR
23592,2019,2019,AZ,NVSS,"cases per 100,000",81.9,81.9,77.0,86.9,DIA,DIA03,AGEADJRATE,RACE,HIS
23834,2019,2019,AK,BRFSS,%,10.8,10.8,8.6,13.4,DIA,DIA01,CRDPREV,AGE,AGE4564
23875,2019,2019,AZ,NVSS,"cases per 100,000",132.1,132.1,118.8,145.4,DIA,DIA03,CRDRATE,RACE,AIAN
23882,2019,2019,AK,PRAMS,%,14.5,14.5,7.8,25.3,DIA,DIA02,CRDPREV,RACE,HIS
23893,2019,2019,AL,NVSS,"cases per 100,000",2.6,2.6,1.8,3.8,DIA,DIA04,AGEADJRATE,RACE,BLK
23944,2019,2019,AL,NVSS,Number,1416.0,1416.0,,,DIA,DIA03,NMBR,SEX,SEXF
23972,2019,2019,AL,BRFSS,%,14.0,14.0,13.0,14.9,DIA,DIA01,CRDPREV,OVERALL,OVR
24022,2019,2019,AR,NVSS,"cases per 100,000",130.5,130.5,119.2,141.7,DIA,DIA03,AGEADJRATE,RACE,BLK
24058,2019,2019,AZ,NVSS,"cases per 100,000",1.4,1.4,1.1,1.7,DIA,DIA04,CRDRATE,OVERALL,OVR
24077,2019,2019,AZ,NVSS,"cases per 100,000",1.0,1.0,0.7,1.4,DIA,DIA04,AGEADJRATE,SEX,SEXF
24093,2019,2019,AL,PRAMS,%,5.7,5.7,3.4,9.5,DIA,DIA02,CRDPREV,RACE,BLK
24145,2019,2019,AR,BRFSS,%,16.9,16.9,9.9,27.2,DIA,DIA01,AGEADJPREV,RACE,HIS
24234,2019,2019,AK,NVSS,"cases per 100,000",45.1,45.1,27.9,68.9,DIA,DIA03,CRDRATE,RACE,ASN
24425,2019,2019,AL,NVSS,"cases per 100,000",1.9,1.9,1.5,2.4,DIA,DIA04,AGEADJRATE,RACE,WHT
24452,2019,2019,AZ,NVSS,"cases per 100,000",76.5,76.5,74.5,78.5,DIA,DIA03,CRDRATE,OVERALL,OVR
24731,2019,2019,AR,BRFSS,%,18.0,18.0,14.8,21.6,DIA,DIA01,AGEADJPREV,RACE,BLK
24796,2019,2019,AK,BRFSS,%,7.9,7.9,6.2,10.0,DIA,DIA01,AGEADJPREV,SEX,SEXF
24810,2019,2019,AL,PRAMS,%,6.3,6.3,4.4,8.8,DIA,DIA02,CRDPREV,RACE,WHT
24822,2019,2019,AL,NVSS,"cases per 100,000",2.7,2.7,2.0,3.4,DIA,DIA04,CRDRATE,SEX,SEXM
24840,2019,2019,AR,NVSS,"cases per 100,000",18.2,18.2,13.2,24.5,DIA,DIA03,CRDRATE,RACE,HIS
24933,2019,2019,AZ,BRFSS,%,3.2,3.2,2.3,4.4,DIA,DIA01,CRDPREV,AGE,AGE1844
24945,2019,2019,AR,NVSS,"cases per 100,000",117.0,117.0,112.5,121.6,DIA,DIA03,CRDRATE,RACE,WHT
25035,2019,2019,AK,NVSS,"cases per 100,000",41.7,41.7,37.0,46.4,DIA,DIA03,CRDRATE,OVERALL,OVR
25236,2019,2019,AZ,NVSS,Number,2284.0,2284.0,,,DIA,DIA03,NMBR,SEX,SEXF
25248,2019,2019,AZ,NVSS,Number,5571.0,5571.0,,,DIA,DIA03,NMBR,OVERALL,OVR
25506,2019,2019,AR,NVSS,"cases per 100,000",122.2,122.2,116.6,127.9,DIA,DIA03,CRDRATE,SEX,SEXM
25508,2019,2019,AR,BRFSS,%,13.6,13.6,12.1,15.4,DIA,DIA01,CRDPREV,SEX,SEXM
25546,2019,2019,AK,PRAMS,%,22.1,22.1,18.2,26.7,DIA,DIA02,CRDPREV,RACE,AIAN
25559,2019,2019,AR,NVSS,"cases per 100,000",82.5,82.5,79.6,85.4,DIA,DIA03,AGEADJRATE,OVERALL,OVR
25622,2019,2019,AK,NVSS,"cases per 100,000",43.6,43.6,37.5,49.8,DIA,DIA03,CRDRATE,RACE,WHT
25630,2019,2019,AR,PRAMS,%,16.7,16.7,8.6,29.9,DIA,DIA02,CRDPREV,RACE,HIS
